1,P,I,4,1,3,1,5
1,S,I,5,1,3,4,2
1,E,I,4,1,3,5,2
1,E,I,5,1,3,4,2
1,L,I,0,4,5,4,0
2,P,I,2,1,4,2,5
2,E,I,2,3,5,1,4
2,E,T,4,1,1,4,1
2,E,I,2,3,5,4,1
2,S,I,3,5,4,3,3
2,L,I,0,0,0,0,0
3,P,I,1,2,4,3,5
3,S,I,1,3,5,3,2
3,E,I,1,4,5,2,3
3,E,I,2,6,4,3,1
3,L,I,1,4,4,5,4
4,P,I,3,1,2,5,4
4,S,I,4,4,5,4,4
4,S,T,7,8,8,7,8
4,S,I,4,1,5,3,2
4,E,I,0,4,0,5,3
4,L,I,5,0,0,0,0
5,P,I,4,1,5,3,2
5,E,I,2,4,1,3,5
5,E,I,5,5,5,5,5
5,E,T,3,5,5,3,5
5,S,I,1,2,4,3,5
5,L,I,1,2,5,4,4
6,P,I,1,1,3,1,5
6,S,I,3,1,4,5,3
6,E,T,0,5,5,0,5
6,S,I,2,5,2,1,4
6,S,I,4,1,5,2,3
6,L,I,5,4,1,3,3
7,P,I,2,4,3,5,1
7,E,I,0,0,0,5,4
7,S,I,4,1,5,2,3
7,E,T,3,2,2,3,2
7,E,I,2,3,5,5,5
7,L,I,3,5,2,1,4
8,P,I,1,5,3,2,4
8,S,I,5,3,3,3,4
8,S,I,2,5,3,4,2
8,S,I,2,1,4,3,5
8,L,I,3,2,4,5,1
9,P,I,3,2,1,4,5
9,E,I,5,3,4,1,2
9,S,T,3,2,2,3,2
9,B,I,0,0,0,0,2
9,E,I,3,4,5,2,1
9,L,I,4,1,2,5,4
10,P,I,3,5,1,4,2
10,E,I,3,3,4,5,1
10,E,I,3,5,0,2,4
10,S,I,2,5,5,1,3
10,L,I,5,4,0,0,3
