1,P,I,2,1,2,5,4
1,S,I,2,4,5,1,3
1,E,I,1,3,4,2,5
1,E,I,4,3,5,1,2
1,L,I,2,3,4,4,5
2,P,I,1,2,3,4,5
2,E,I,5,4,3,2,1
2,S,T,3,2,2,3,3
2,E,I,5,10,5,5,5
2,S,I,1,3,5,2,4
2,L,I,1,2,5,3,4
3,P,I,4,0,5,3,0
3,E,I,4,5,3,1,2
3,S,I,2,4,3,5,1
3,E,I,3,1,2,4,5
3,L,I,5,5,4,2,1
4,P,I,1,5,2,4,3
4,E,I,5,2,4,3,1
4,S,I,1,4,3,2,5
4,E,I,5,1,3,2,4
4,L,I,5,4,4,1,4
5,P,I,2,5,3,1,4
5,S,I,5,3,1,2,4
5,E,I,5,5,5,0,5
5,S,I,5,5,1,3,2
5,S,T,3,2,2,3,3
5,L,T,0,5,5,0,0
6,P,I,1,4,5,2,3
6,E,I,5,2,4,2,3
6,S,I,5,2,3,1,4
6,S,T,3,2,2,3,3
6,E,I,2,4,3,5,0
6,L,I,3,2,0,4,5
7,P,I,2,1,1,1,2
7,E,I,1,3,2,4,5
7,E,I,3,4,1,2,5
7,S,T,2,4,4,1,1
7,S,I,3,3,3,5,3
7,L,I,4,3,3,2,5
8,P,I,4,2,5,1,5
8,S,I,2,4,2,2,5
8,E,I,5,4,3,2,1
8,S,I,4,5,3,2,4
8,L,I,1,4,3,2,5
9,P,I,3,4,2,5,1
9,E,I,0,0,5,0,0
9,E,I,3,2,4,0,4
9,E,T,1,5,5,1,1
9,L,I,5,4,3,4,2
10,P,I,3,2,5,4,1
10,E,I,6,6,3,6,9
10,E,I,5,0,0,0,0
10,S,I,5,3,2,3,4
10,L,I,0,0,5,0,0
